country_id,indicator_id,value,version,change_note,review_status,tags,source_url
AUS,I01,"None
No administrative population register; official population figures use the census and estimated resident population derived from statistical adjustments.",2026/2/4,Update I01 sources and detail (classification unchanged).,published,none;federalism,"[""https://www.abs.gov.au/census/about-census/australian-census"", ""https://population.gov.au/population-topics/topic-population-measurement""]"
AUS,I02,"No
There is no nationwide resident-registration-based backbone for querying and verifying core attributes. Official population measurement relies on census-based estimates, while administrative records are maintained by purpose-specific systems; an address register may exist for statistical or operational purposes but it does not constitute a resident register network for nationwide verification of personal particulars.",2026/2/4,I02 detail expanded for consistent explanatory depth (definition refined; see README).,published,none;no-register,"[""https://population.gov.au/population-topics/topic-population-measurement"", ""https://www.abs.gov.au/statistics/research/abs-address-register-users-guide""]"
AUS,I03,"None
A tax file number exists for taxation and related reporting, but the framework explicitly rejects using it as a national identification system. In Australia, identity in everyday public and private transactions is not anchored to a single universal personal number; instead, identifiers remain purpose-specific (tax, licensing, program enrolment) and are not institutionally positioned as a cross-sector common key. Accordingly, the national design is best described as a non-common-identifier model rather than a unified personal identifier regime.",2026/2/4,Initial baseline,published,restricted;identity,"[""https://my.gov.au/en/about/help/digital-id""]"
AUS,I04,"Partial
Australia’s Digital ID system enables consent-based verification of identity information against authoritative government records without creating a centralised database. Interoperability is defined through standards (including federation and attribute profiles) for participating providers and relying parties, but the mechanism is primarily identity-attribute sharing rather than a broad whole-of-government data exchange layer.",2026/2/4,I04 sources normalised to government-first; detail aligned to verified-attribute/data-exchange definition.,published,consent;attributes;federation,"[""https://www.finance.gov.au/government/australias-digital-id-system"", ""https://dsb.gov.au/digital-id/data-standards"", ""https://www.digitalidsystem.gov.au/the-australian-government-digital-id-system-agdis""]"
AUS,I05,"No
Australia does not have a national ID card; the Australian Government Digital ID System (AGDIS) provides voluntary, consent‑based online identity verification using existing authoritative records via accredited providers. The model does not create a centralised card‑based national ID for online reuse, and services can be accessed using Digital ID (e.g., myID) without issuing a physical national ID card. Accordingly, Australia is classified No for this indicator.",2026/2/4,"Initial baseline; I05 detail harmonised (2–4 sentence paragraph), translations aligned; government-first sources kept (batch 2026-02-10)",published,no-id-card,"[""https://my.gov.au/en/about/help/digital-id""]"
AUS,I06,"Nationwide
Australia’s Digital ID ecosystem provides a nationwide smartphone route (myID app) to prove identity for participating public services under government rules, with consent-based verification against authoritative records and no centralised personal-data hub. The model enables reusable authentication and identity proofing across administrative domains via accredited providers.",2026/2/4,"I06 aligned to locked definition; detail harmonised (2–4 sentence, 1 paragraph); government-first sources; batch 2026-02-10",published,nationwide;smartphone;digital-id,"[""https://my.gov.au/en/about/help/digital-id"", ""https://www.digitalidsystem.gov.au/the-australian-government-digital-id-system-agdis""]"
AUS,I07,"Partial
Australia’s digital driver licences are issued and operated by states and territories, with the NSW Digital Driver Licence in the Service NSW app being a leading example. These credentials are accepted for policing and everyday checks within participating jurisdictions and integrate with state digital service portals. However, there is no single nationwide mDL scheme, so acceptance, technical profiles and reuse remain jurisdiction‑specific.",2026/2/4,I06 definition/classification restored; I07 definition/classification aligned; I07 details expanded (2–4 sentence); sources normalised (government-first); batch 2026-02-10,published,partial;drivers-license;state,"[""https://www.service.nsw.gov.au/campaign/nsw-digital-driver-licence""]"
AUS,I08,"Yes
Digital ID (myID) provides authentication and identity proofing for participating government services.",2026/2/4,Initial baseline,published,authentication;digital-id,"[""https://my.gov.au/en/about/help/digital-id"", ""https://www.digitalidsystem.gov.au/the-australian-government-digital-id-system-agdis""]"
AUS,I09,"Procurement
Whole-of-government cloud policy provides a unified framework for cloud adoption across the Australian Public Service.",2026/2/4,Initial baseline,published,procurement;cloud-policy,"[""https://www.digital.gov.au/cloud-policy""]"
AUS,I10,"No
No EU GDPR adequacy decision for Australia (not listed among adequacy jurisdictions).",2026/2/4,Initial baseline,published,privacy;no-adequacy,"[""https://commission.europa.eu/law/law-topic/data-protection/international-dimension-data-protection/adequacy-decisions_en""]"
