country_id,indicator_id,value,version,change_note,review_status,tags,source_url
AUS,I01,"None
No national population register; identity is verified against issuing agencies Erecords without creating a centralised database.",2026/2/1,Initial baseline,published,none;federalism,"[""https://www.finance.gov.au/government/australias-digital-id-system""]"
AUS,I02,"No
No nationwide resident registry network comparable to population-register linkage.",2026/2/1,Initial baseline,published,none,"[""https://www.finance.gov.au/government/australias-digital-id-system""]"
AUS,I03,"Restricted
Identity documents (passport, driver licence) are used to create Digital ID; unique identifiers are purpose-bound rather than universal cross-sector IDs.",2026/2/1,Initial baseline,published,restricted;identity,"[""https://my.gov.au/en/about/help/digital-id""]"
AUS,I04,"Partial
Australian Government Digital ID System enables online verification against official records with user consent (no central database).",2026/2/1,Initial baseline,published,interoperability;consent,"[""https://www.finance.gov.au/government/australias-digital-id-system"", ""https://www.digitalidsystem.gov.au/the-australian-government-digital-id-system-agdis""]"
AUS,I05,"No
No national ID card; government Digital ID relies on existing identity documents (passport, driver licence) as evidence.",2026/2/1,Initial baseline,published,no-id-card,"[""https://my.gov.au/en/about/help/digital-id""]"
AUS,I06,"Nationwide
myID (formerly myGovID) is the Australian Government Digital ID app used to prove identity for online services.",2026/2/1,Initial baseline,published,nationwide;smartphone;digital-id,"[""https://my.gov.au/en/about/help/digital-id""]"
AUS,I07,"Partial
Digital driver licences are state-based (e.g., NSW Digital Driver Licence in Service NSW app).",2026/2/1,Initial baseline,published,partial;drivers-license;state,"[""https://www.service.nsw.gov.au/campaign/nsw-digital-driver-licence""]"
AUS,I08,"Yes
Digital ID (myID) provides authentication and identity proofing for participating government services.",2026/2/1,Initial baseline,published,authentication;digital-id,"[""https://my.gov.au/en/about/help/digital-id"", ""https://www.digitalidsystem.gov.au/the-australian-government-digital-id-system-agdis""]"
AUS,I09,"Procurement
Whole-of-government cloud policy provides a unified framework for cloud adoption across the Australian Public Service.",2026/2/1,Initial baseline,published,procurement;cloud-policy,"[""https://www.digital.gov.au/cloud-policy""]"
AUS,I10,"No
No EU GDPR adequacy decision for Australia (not listed among adequacy jurisdictions).",2026/2/1,Initial baseline,published,privacy;no-adequacy,"[""https://commission.europa.eu/law/law-topic/data-protection/international-dimension-data-protection/adequacy-decisions_en""]"
AUS,I11,"Yes
Key milestones captured in events.csv",2026/2/1,Initial baseline,published,timeline,"[""https://my.gov.au/en/about/help/digital-id"", ""https://www.digitalidsystem.gov.au/the-australian-government-digital-id-system-agdis""]"
CAN,I01,"None
No national population register; core identity and licensing records are managed by provinces/territories.",2026/2/1,Initial baseline,published,none;federalism,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/settle-canada/driving.html""]"
CAN,I02,"No
No single nationwide resident registry network comparable to population-register linkage.",2026/2/1,Initial baseline,published,none,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/settle-canada/driving.html""]"
CAN,I03,"Restricted
Social Insurance Number is confidential; use is legally required mainly for income reporting and government benefits.",2026/2/1,Initial baseline,published,restricted;sin;tax,"[""https://www.canada.ca/en/employment-social-development/services/sin.html"", ""https://www.canada.ca/en/employment-social-development/services/sin/protection.html""]"
CAN,I04,"Partial
Digital government access uses multiple credentials (GCKey, Sign-In Partner) and program-specific enrolment.",2026/2/1,Initial baseline,published,federal;sign-in,"[""https://www.canada.ca/en/employment-social-development/services/my-account.html"", ""https://www.canada.ca/en/immigration-refugees-citizenship/corporate/partners-service-providers/partner-portal.html""]"
CAN,I05,"No
No federal national ID card; commonly used credentials include provincial driver’s licences/ID and passports.",2026/2/1,Initial baseline,published,no-id-card,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/settle-canada/driving.html""]"
CAN,I06,"Partial
Some provinces offer digital ID login apps (e.g., BC Services Card app) for online access to services.",2026/2/1,Initial baseline,published,smartphone;province,"[""https://www2.gov.bc.ca/gov/content/governments/government-id/bcservicescardapp""]"
