country_id,indicator_id,value,version,review_status,change_note,source_url,tags,country_name,pattern,sources_count,domain
AUS,IT01,"Internet‑ZT
共通閉域に一極集中せず、クラウド・SaaS周縁の Internet＋ZT 構成を主流に。設計は“インターネット前提”で、境界に依存しないゼロトラスト制御（強制MFA、端末姿勢検証、属性ベースの最小権限、暗号化、継続監査）を標準とする。ネットワークはセグメントを薄く保ち、ブローカー型の安全な接続・プロキシ・CASBでSaaS／IaaSを一貫統制する。ログは中央に集約して相関分析・自動対応を行い、構成と脆弱性はカタログ化して継続的に是正する。レガシー接続や高機密領域は画面転送・無害化・強制プロキシ等で補完し、段階的にZT成熟度を高める。",2026-02-18,published,carried over from existing IT01,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism,sectoral;zt,Australia,Internet‑ZT,1,Central Network Architecture
AUS,IT02,"Local-Sectoral
全国統一の自治体閉域は存在せず、州・準州レベルのネットワーク／共同事業や各自治体の直収接続を組み合わせる“分権型”が一般的。業務系は州の共有サービスや安全なインターネットゲートウェイを通す設計が多く、画面転送・プロキシ・ファイル無害化などの検疫で公開系と分離する。可視化と統制はASDのガイダンスに基づき、最小権限・多層防御と合わせてログ一元化を強化する。州・準州・自治体の共同接続モデルを前提に、拠点直収／地域DC経由／共同運用など複数の接続形態を標準化する。境界はゲートウェイに集約し、プロキシ／中継／無害化・画面転送で公開系と業務系を明確に分離する。ログは共通様式で一元収集し、相関・脅威インテリジェンス連携・手順化されたインシデント対応で可観測性を高める。クラウド／SaaS 連携はテンプレート化されたネットワーク・ID・鍵管理で再利用性を高め、段階的にハイブリッド移行を進める。",2026-02-18,published,initial AUS IT02,https://www.cyber.gov.au/resources-business-and-government/governance-and-user-education/ism,local,Australia,Local-Sectoral,1,Local/Regional Network Model
AUS,IT03,"Sec-ZT-Policy
ASD ISM と Essential Eight を基盤に、政府横断でZT原則（強固な認証、端末姿勢、最小権限、暗号化、継続監査）を方針化。レガシー境界は段階的に縮退し、SIEM/SOC で相関分析を標準化。クラウドやSaaSでも契約・監査・鍵管理の共通枠で一貫統制。ゼロトラスト実装はガバナンス（役割・責任・監査）とポリシー・コード化（IaC/PaC）を伴い、段階的ロードマップで展開する。ID連携・デバイス健全性・ネットワーク・アプリ・データ各柱の測定指標を定義し、成熟度を四半期ベースで可視化する。供給網リスク（SaaS/オープンソース/第三者委託）は契約・検証・監査証跡で管理し、SOCで相関・自動化を進める。クラウド採用時はランディングゾーンと鍵管理・秘匿化標準を適用し、オンプレとの接続は最小境界とする。",2026-02-18,published,initial AUS IT03,https://blueprint.asd.gov.au/security-and-governance/essential-eight/,policy;zt,Australia,Sec-ZT-Policy,1,Security / Zero-Trust Policy
AUS,IT04,"Risk-Zoning-ZT
ASD ISM と Essential Eight を基礎に、用途・機密度に応じた分離（管理系／業務系／公開系）とゼロトラスト要素（MFA・端末健全性・継続検証）を段階的に導入。物理分離が困難な領域ではプロキシ・VDI・CASB 等の論理分離を併用し、ログの集中相関でインシデント対応を平準化する。州や共同体の基準に準拠しつつ、自治体の規模に合わせたガードレールで運用負荷を抑える。データ分類と業務影響分析に基づきゾーンを定義し、境界は無害化・プロキシ・相互TLS・強制記録で多層化する。ID連携は属性・同意・最小権限を基本とし、端末はEDRと姿勢評価で継続検証する。バックアップとDRはゾーン横断の演習で検証し、レポーティングと監査証跡で再現性を確保する。可視化は共通ダッシュボードに統合し、運用手順と権限は職務分掌に沿って最小化する。",2026-02-18,published,initial AUS IT04,https://blueprint.asd.gov.au/security-and-governance/essential-eight/,partial;zt,Australia,Risk-Zoning-ZT,1,Risk Zoning / Segmentation
AUS,IT05,"Procurement
Whole-of-government のクラウド方針とアシュアランス（認定、契約、保護要件）を軸に、複数CSPを調達で使い分ける。ワークロードは基準化されたリファレンスアーキテクチャで展開し、ネットワークは専用接続／ZT制御で保護する。監査・鍵管理・ログ集約は共通枠組みで統制し、依拠データの所在と越境移転に配慮する。ポリシー／アシュアランス主導でクラウドを採用し、契約・セキュリティ基準・プライバシー・データ所在を明文化する。ランディングゾーン・ネットワーク・ID・鍵管理・監査の標準テンプレートを提供し、部門横断の再利用を促進する。クラウド審査／リスク評価／監査対応は中央で支援し、サービス選定の指針とガードレールで逸脱を抑止する。運用メトリクスと費用対効果を継続測定し、改善サイクルをポリシーへ反映する。",2026-02-18,published,initial AUS IT05,https://blueprint.asd.gov.au/security-and-governance/essential-eight/,procurement,Australia,Procurement,1,Government Cloud (Central)
AUS,IT06,"Procurement
自治体向けの全国統一クラウドは存在せず、州の共通枠やAoG契約、セキュアなSaaS/PaaSの選定ガイドに従って導入。リファレンス設計（ID連携、ログ、バックアップ、災対）を共有し、SaaS 連携はCASB等で統制。移行段階ではハイブリッドとし、オンプレから段階的に権限・監査をクラウド基盤へ集約する。共通のガードレール（ID・監査・ログ・バックアップ・DR）に沿って設計・導入し、契約でデータ保護条項と第三者監査を担保する。SaaS利用は属性・同意・監査の前提で連携し、PII／センシティブ情報は暗号化・鍵分離で保護する。ネットワークは最小境界を維持し、必要に応じてVDI／無害化・強制プロキシで分離を補強する。費用対効果と成熟度を定期評価し、改善結果を標準テンプレートへ反映する。",2026-02-18,published,initial AUS IT06,https://blueprint.asd.gov.au/security-and-governance/essential-eight/,procurement,Australia,Procurement,1,Government Cloud (Local)
CAN,IT01,"GovNet‑Common 
連邦の共通接続とセキュリティ基盤の上に、TBS の GC Cloud Guardrails と CCCS のゼロトラスト指針を横断適用。Internet‑first＋ZT を前提に ID・端末・ネットワーク・アプリ・データ各柱を継続検証し、クラウドは Guardrails に沿って鍵管理・監査・分離を共通統制する。",2026-02-18,published,carried over from existing IT01,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32787&section=html,sectoral,Canada,GovNet‑Common,1,Central Network Architecture
CAN,IT02,"Local-Sectoral
全国レベルの自治体閉域はなく、州・準州や共同体（例：ブロードバンド計画、DC共同化）が中核。自治体の業務トラフィックは州ゲートウェイや自前のセキュアインターネット経路で検疫・監査され、公開系と業務系はプロキシ・無害化・画面転送などの組合せで分離される。相互運用はガイドラインと共通ログで担保し、脅威共有を通じて可視性を高める。州・準州・自治体の共同接続モデルを前提に、拠点直収／地域DC経由／共同運用など複数の接続形態を標準化する。境界はゲートウェイに集約し、プロキシ／中継／無害化・画面転送で公開系と業務系を明確に分離する。ログは共通様式で一元収集し、相関・脅威インテリジェンス連携・手順化されたインシデント対応で可観測性を高める。クラウド／SaaS 連携はテンプレート化されたネットワーク・ID・鍵管理で再利用性を高め、段階的にハイブリッド移行を進める。",2026-02-18,published,initial CAN IT02,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/cloud-guardrails.html,local,Canada,Local-Sectoral,1,Local/Regional Network Model
CAN,IT03,"Sec-ZT-Policy
TBS/CSE のガイダンスに基づき、政府横断でZTアーキテクチャ（ID連携、端末健全性、マイクロセグメント、ログ相関）を方針化。クラウドではGuardrailsの下で鍵・監査・脆弱性管理を共通統制。ゼロトラスト実装はガバナンス（役割・責任・監査）とポリシー・コード化（IaC/PaC）を伴い、段階的ロードマップで展開する。ID連携・デバイス健全性・ネットワーク・アプリ・データ各柱の測定指標を定義し、成熟度を四半期ベースで可視化する。供給網リスク（SaaS/オープンソース/第三者委託）は契約・検証・監査証跡で管理し、SOCで相関・自動化を進める。クラウド採用時はランディングゾーンと鍵管理・秘匿化標準を適用し、オンプレとの接続は最小境界とする。",2026-02-18,published,initial CAN IT03,https://www.cyber.gc.ca/en/guidance/zero-trust-approach-security-architecture-itsm10008,policy;zt,Canada,Sec-ZT-Policy,1,Security / Zero-Trust Policy
CAN,IT04,"Risk-Zoning-ZT
連邦のITSG/NIST準拠の枠組みやCSEガイダンスを参照し、自治体はリスクベースのゾーニングとZTコントロール（MFA、端末姿勢、権限最小化、ログ相関）を実装。州標準との整合を取りつつ、住民サービスやSaaS連携には属性ベースのアクセス制御とCASBを併用し、個人情報の取り扱いを省法制に適合させる。データ分類と業務影響分析に基づきゾーンを定義し、境界は無害化・プロキシ・相互TLS・強制記録で多層化する。ID連携は属性・同意・最小権限を基本とし、端末はEDRと姿勢評価で継続検証する。バックアップとDRはゾーン横断の演習で検証し、レポーティングと監査証跡で再現性を確保する。可視化は共通ダッシュボードに統合し、運用手順と権限は職務分掌に沿って最小化する。",2026-02-18,published,initial CAN IT04,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/cloud-guardrails.html,partial;zt,Canada,Risk-Zoning-ZT,1,Risk Zoning / Segmentation
