en,ja
Aadhaar authentication (OTP/biometric) plus offline e-KYC and DigiLocker document verification provide authentication infrastructure.,Aadhaar認証（OTP/生体）に加え、オフラインeKYCやDigiLockerの文書検証が認証基盤を構成する。
Aadhaar authentication and India Stack initiatives enable broad digital verification and service delivery nationwide.,Aadhaar認証やIndia Stackの取組により、全国的なデジタル本人確認とサービス提供が可能。
Aadhaar is a 12-digit unique identity number for residents; use is consent-based in many contexts.,Aadhaarは住民向けの12桁識別番号で、多くの場面で同意に基づき利用される。
Aadhaar is issued as a physical letter/card and used as an identity credential; not a chip-based national ID card.,Aadhaarは物理の書面/カードとして交付され身分証として使われるが、チップ搭載の国民IDカードではない。
"Approved e-identification providers include BankID (mobile), Freja+, and AB Svenska Pass under the national eID framework.",国家eID枠組みでBankID（モバイル）、Freja+、AB Svenska Pass等が承認されている。
Australian Government Digital ID System enables online verification against official records with user consent (no central database).,豪州のデジタルID制度は同意の下で公式記録と照合し、中央集約DBを作らずにオンライン本人確認を可能にする。
"Authentication ecosystem includes BankID, Freja+ and eID on Tax Agency-issued ID card under the Svensk e-legitimation framework.",Svensk e-legitimation枠組みの下でBankIDやFreja+、税務庁発行IDカードのeID等が併存。
Authentication uses GCKey plus Sign-In Partner (bank-based) and some provincial sign-in options.,認証はGCKeyに加え銀行連携のSign-In Partner、州のサインイン方式などを併用。
Authentication via eID function of the ID card plus BundID user account; also supports EU eID means.,IDカードのeID機能とBundID利用者アカウントによる認証が中心で、EUのeID手段にも対応。
CPR number is essential for access to public services; eID onboarding can use CPR-linked data for verification.,CPR番号は行政サービス利用に不可欠で、eIDの発行・本人確認にもCPR連携データが用いられる。
CPR number is the primary identifier for interaction with Danish public authorities.,CPR番号がデンマークの行政手続での主要識別子。
Cross-agency data exchange via state APIs (DLNUF) in specific domains,特定分野で国家API（DLNUF等）により省庁間データ連携を実施
Denmark does not have a mandatory national ID card for residents. Identity is typically proven with passport or driving licence; municipalities can issue an identity card as photo ID in some situations.,デンマークには住民向けの携帯義務の国民IDカードはない。本人確認は通常パスポートや運転免許証で行われ、状況によっては自治体が写真付きIDとして身分証明カードを発行できる。
Denmark’s civil registration system (CPR) is the national registration system; municipalities handle updates under the CPR framework.,デンマークの住民登録（CPR）は国家登録制度で、更新は自治体が担う。
Digital ID (myID) provides authentication and identity proofing for participating government services.,デジタルID（myID）は参加する行政サービスで認証と本人確認を提供。
Digital Personal Data Protection Act 2023 establishes privacy law; no EU GDPR adequacy decision for India.,Digital Personal Data Protection Act 2023がプライバシー法制を整備するが、インドはEU GDPR十分性認定対象ではない。
Digital Platform Government aims to connect systems and data across agencies,デジタル・プラットフォーム政府により省庁横断のシステム・データ連携を目指す
Digital document and credential exchange is supported via DigiLocker and other Digital India platforms.,DigiLocker等のDigital India基盤により、デジタル文書・資格情報の共有/検証が支援される。
Digital documents (including driving licence) are referenced as future capability within the GOV.UK One Login app ecosystem.,GOV.UK One Loginのアプリ基盤では将来的に運転免許証等のデジタル文書の保存が想定されている。
"Digital driver licences are state-based (e.g., NSW Digital Driver Licence in Service NSW app).",デジタル運転免許証は州単位（例：NSWはService NSWアプリのDigital Driver Licence）。
"Digital government access uses multiple credentials (GCKey, Sign-In Partner) and program-specific enrolment.",行政オンラインアクセスはGCKeyやSign-In Partner等の複数資格情報と、サービスごとの登録で運用。
"Digital government services use user accounts (BundID) and standards, but interoperability remains federated across federal/state levels.",デジタル行政サービスはBundID等のアカウントと標準を用いるが、連携は連邦・州の分権構造のまま。
Digital self-services rely on CPR and MitID; cross-service access works via shared identity infrastructure.,デジタル行政サービスはCPRとMitIDに依存し、共通の身分基盤で横断利用が可能。
EU GDPR adequacy decision for Republic of Korea (2022/254),韓国に対するEU GDPRの十分性認定（2022/254）
"EU has adopted adequacy decisions for the United Kingdom under GDPR (renewed, sunset clause applies).",EUは英国についてGDPRに基づく十分性認定（更新・サンセット条項あり）を採択している。
EU member state under GDPR,EU加盟国としてGDPRが適用
EU recognises Canada (commercial organisations) as providing adequate protection for personal data transfers.,EUはカナダ（商業組織）を個人データ移転の十分性認定対象としている。
EU recognises New Zealand as providing adequate protection for personal data transfers.,EUはニュージーランドを個人データ移転の十分性認定対象としている。
"Estonia is participating in EU Digital Identity Wallet pilot work on the Mobile Driving Licence (mDL) use case, led by the Information System Authority (RIA); nationwide ISO/IEC 18013-5 mDL issuance is not yet announced.",エストニアは情報システム庁（RIA）が主導するEUデジタルIDウォレットのパイロットで、モバイル運転免許証（mDL）ユースケースの検証に参加している。ISO/IEC 18013-5に準拠したmDLの全国発行は現時点で公表されていない。
Estonian Government Cloud (Riigipilv),エストニア政府クラウド（Riigipilv）
FedRAMP provides a government-wide approach to security assessment/authorization for cloud services used by federal agencies.,FedRAMPは連邦機関が利用するクラウドのセキュリティ評価・認可の標準枠組み。
Federal cloud initiatives include Bundescloud and the federated German Government Cloud (DVC).,連邦政府のクラウド施策としてBundescloudおよび連邦・州の政府クラウド（DVC）がある。
"Federated identity and attribute sharing exist (e.g., Login.gov for participating federal agencies), but systems remain fragmented across levels of government.",Login.gov等で連邦機関向けの連携はあるが、政府レベル間で全体は分断されている。
France Identit? app generalized (mobile identity),France Identitéアプリが一般化（モバイルID）
FranceConnect is the state SSO / authentication federator,FranceConnectが政府のSSO／認証連携基盤
GDPR applies (EU member state).,EU加盟国としてGDPRが適用。
GDPR applies (EU member); CNIL as supervisory authority,EU加盟国としてGDPRが適用され、CNILが監督当局
GOV.UK One Login provides a central sign-in and identity proofing service for participating government services.,GOV.UK One Loginは参加する行政サービス向けの統一サインインと本人確認を提供。
GOV.UK One Login stores verified identity attributes for reuse across services requiring identity checks.,GOV.UK One Loginは確認済みの属性情報を保存し、本人確認が必要なサービスで再利用できる。
GOV.UK One Login uses a smartphone app route for identity proofing (document scan and liveness checks).,GOV.UK One Loginはスマホアプリで書類読取と生体（ライブネス）確認により本人確認を行う。
German ID card (Personalausweis) includes a chip enabling online identification (eID).,ドイツの身分証（Personalausweis）はチップを搭載し、オンライン本人確認（eID）に対応。
