country_id,basic_id,value,year,version,change_note,review_status,source_url
AUS,A01,"27,196,812
World Bank (WDI) SP.POP.TOTL",2024,2026/2/4,A01 population updated,published,"[""https://data.worldbank.org/country/Australia""]"
AUS,A02,"88
World Bank (WDI) SP.URB.TOTL.IN.ZS（都市の定義は国別）",2024,2026/2/4,A02 urbanization updated,published,"[""https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS?locations=AU""]"
AUS,A03,"97.0631
World Bank (WDI): Individuals using the Internet (% of population) / IT.NET.USER.ZS",2023,2026/2/4,A03 updated (latest available) from World Bank WDI.,published,"[""https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=AU""]"
AUS,A04,"112.513
Proxy: Mobile cellular subscriptions (per 100 people) / IT.CEL.SETS.P2 (スマホ普及率の代理指標)
World Bank (WDI)",2023,2026/2/4,A04 updated (latest available) from World Bank WDI (proxy).,published,"[""https://data.worldbank.org/indicator/IT.CEL.SETS.P2?locations=AU""]"
AUS,A05,"71,410
World Bank (WDI): GDP per capita, PPP (current international $) / NY.GDP.PCAP.PP.CD",2024,2026/2/4,A05 updated (latest available) from World Bank WDI (PPP).,published,"[""https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=AU""]"
AUS,A06,"1
Official languages (incl. de facto where stated): English (de facto)",2026,2026/2/4,A06 updated from official languages listing (statewide; de facto only when explicitly stated).,published,"[""https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory""]"
AUS,B01,"連邦国家（Federal）
根拠：オーストラリアは州の連邦（federation of states）で、憲法の下で権限が連邦と州に分担される。",2026,2026/2/4,Initial baseline (basic info template); B01 finalised (unitary/federal).,published,"[""https://peo.gov.au/understand-our-parliament/how-parliament-works/system-of-government/australian-system-of-government"",""https://www.aph.gov.au/About_Parliament/House_of_Representatives/Powers_practice_and_procedure/00_-_Infosheets/Infosheet_13_-_The_Constitution""]"
AUS,B02,"567
根拠：ABSのASGSにおけるLocal Government Areas（LGA）数。未編入地域等も含む統計用区分。",2025,2026/2/4,Initial baseline (basic info template); B02 finalised (municipality count).,published,"[""https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/non-abs-structures/local-government-areas""]"
AUS,B03,"Medium
憲法上の保障：連邦制だが地方自治体の制度は主に州の枠組みで形成／立法権の有無：なし／制度上の位置づけ：地方自治体は州制度の下で設置・運用／裁量の制約要因：州法・州の監督、権限は州設計に依存",2026,2026/2/4,"Initial baseline (basic info template); B03 finalised (Strong/Medium/Weak, templated).",published,"[""https://peo.gov.au/understand-our-parliament/how-parliament-works/system-of-government/australian-system-of-government""]"
AUS,C01,"0.519000
OECD: Trust in government (share reporting confidence in national government; 2023). Stored as 0-1 (percentage/100).",2023,2026/2/4,"C01 updated (OECD Trust in government: confidence in national government, 2023; scaled to 0-1, 6 decimals)",published,"[""https://www.oecd.org/en/data/indicators/trust-in-government.html"",""https://worldpopulationreview.com/country-rankings/trust-in-government-by-country""]"
AUS,C02,"0.635429
OECD Going Digital (Truth Quest Survey): Share of adults who avoid using certain websites, apps, or social media due to privacy concerns (Year: 2024). Stored as 0-1 (percentage/100).",2024,2026/2/4,"C02 updated (OECD Going Digital indicator 84; scaled to 0-1, 6 decimals)",published,"[""https://goingdigital.oecd.org/en/indicator/84"",""https://www.oecd.org/en/publications/the-oecd-truth-quest-survey_92a94c0f-en.html""]"
AUS,C03,"0.984953
根拠：World Bank GovTech Dataset（WBG_GovTech_Dataset_Dec2025.xlsx）GTMI overall score（Year: 2025, Group: A）",2025,2026/2/4,"C03 GTMI updated (GTMI overall score, 2025)",published,"[""https://datacatalogfiles.worldbank.org/ddh-published/0037889/DR0095721/WBG_GovTech_Dataset_Dec2025.xlsx"", ""https://www.worldbank.org/en/programs/govtech/knowledge-and-innovation/data""]"
CAN,A01,"41,288,599
World Bank (WDI) SP.POP.TOTL",2024,2026/2/4,A01 population updated,published,"[""https://data.worldbank.org/indicator/SP.POP.TOTL?locations=CA""]"
CAN,A02,"83
World Bank (WDI) SP.URB.TOTL.IN.ZS（都市の定義は国別）",2024,2026/2/4,A02 urbanization updated,published,"[""https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS?locations=CA""]"
